
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
2.13.25	ἰσοταχέως, καὶ λελάφθωσαν ἐν αὐτᾷ δύο γραμμαὶ αἱ 
2.13.26	ΓΔ, ΔΕ, ἔστω δὲ ὁ χρόνος, ἐν ᾧ τὰν ΓΔ γραμμὰν τὸ  
2.14.1	σαμεῖον διεπορεύθη, ὁ ΖΗ, ἐν ᾧ δὲ τὰν ΔΕ, ὁ ΗΘ. Δεικτέον 
2.14.2	ὅτι τὸν αὐτὸν ἔχοντι λόγον ἁ ΓΔ γραμμὰ ποτὶ τὰν ΔΕ 
2.14.3	γραμμάν, ὃν ὁ χρόνος ὁ ΖΗ ποτὶ τὸν ΗΘ.  
2.14.4	  Συγκείσθωσαν γὰρ ἐκ τᾶν ΓΔ, ΔΕ γραμμᾶν αἱ ΑΔ, ΔΒ 
2.14.5	γραμμαὶ καθ' ἁντινοῦν σύνθεσιν οὕτως, ὥστε ὑπερέχειν 
2.14.6	τὰν ΑΔ τᾶς ΔΒ, καὶ ὁσάκις μὲν σύγκειται ἁ ΓΔ γραμμὰ 
2.14.7	ἐν τᾷ ΑΔ, τοσαυτάκις συγκείσθω ὁ χρόνος ὁ ΖΗ ἐν τῷ 
2.14.8	χρόνῳ τῷ ΛΗ, ὁσάκις δὲ σύγκειται ἁ ΔΕ γραμμὰ ἐν τᾷ 
2.14.9	ΔΒ, τοσαυτάκις συγκείσθω ὁ ΘΗ χρόνος ἐν τῷ ΚΗ χρόνῳ. 
2.14.10	Ἐπεὶ οὖν ὑπόκειται τὸ σαμεῖον ἰσοταχέως ἐνηνέχθαι 
2.14.11	κατὰ τᾶς ΑΒ γραμμᾶς, δῆλον ὡς, ἐν ὅσῳ χρόνῳ τὰν 
2.14.12	ΓΔ ἐνήνεκται, ἐν τοσούτῳ καὶ ἑκάσταν ἐνήνεκται τᾶν 
2.14.13	ἰσᾶν τᾷ ΓΔ· φανερὸν οὖν ὅτι καὶ συγκειμέναν τὰν ΑΔ 
2.14.14	γραμμὰν ἐν τοσούτῳ χρόνῳ ἐνήνεκται, ὅσος ἐστὶν ὁ 
2.14.15	ΛΗ χρόνος, ἐπειδὴ τοσαυτάκις σύγκειται ἅ τε ΓΔ γραμμὰ 
2.14.16	ἐν τᾷ ΑΔ γραμμᾷ καὶ ὁ ΖΗ χρόνος ἐν τῷ ΛΗ χρόνῳ. 
2.14.17	Διὰ ταὐτὰ δὴ καὶ τὰν ΒΔ γραμμὰν ἐν τοσούτῳ χρόνῳ 
2.14.18	τὸ σαμεῖον ἐνήνεκται, ὅσος ἐστὶν ὁ ΚΗ χρόνος. Ἐπεὶ 
2.14.19	οὖν μείζων ἐστὶν ἁ ΑΔ γραμμὰ τᾶς ΒΔ, δῆλον ὅτι ἐν 
2.14.20	πλείονι χρόνῳ τὸ σαμεῖον τὰν ΔΑ διαπορεύεται γραμμὰν 
2.14.21	ἢ τὰν ΒΔ· ὥστε ὁ χρόνος ὁ ΛΗ μείζων ἐστὶ τοῦ ΚΗ 
2.14.22	χρόνου. Ὁμοίως δὲ δειχθήσεται, καὶ εἴ κα ἐκ τῶν χρόνων 
2.14.23	τῶν ΖΗ, ΗΘ συντεθέωντι χρόνοι καθ' ἁντινοῦν σύνθεσιν, 
2.14.24	ὥστε ὑπερέχειν τὸν ἕτερον τοῦ ἑτέρου, ὅτι καὶ τᾶν ἐκ 
2.14.25	τᾶν γραμμᾶν τᾶν ΓΔ, ΔΕ κατὰ τὰν αὐτὰν σύνθεσιν συντε- 
2.15.1	θεισᾶν ὑπερέξει ἁ ὁμόλογος τῷ ὑπερέχοντι χρόνῳ· 
2.15.2	δῆλον οὖν ὅτι τὸν αὐτὸν ἕξει λόγον ἁ ΓΔ ποτὶ τὰν ΔΕ, 
2.15.3	ὃν ὁ χρόνος ὁ ΖΗ ποτὶ τὸν χρόνον τὸν ΗΘ. 
2.15.4	    βʹ. 
2.15.5	  Εἴ κα δύο σαμείων ἑκατέρου κατά τινος γραμμᾶς 
2.15.6	ἐνεχθέντος μὴ τᾶς αὐτᾶς ἰσοταχέως αὐτοῦ ἑαυτῷ φερομένου 
2.15.7	λαφθέωντι ἐν ἑκατέρᾳ τᾶν γραμμᾶν δύο γραμμαί, ἇν 
2.15.8	αἵ τε πρῶται ἐν ἴσοις χρόνοις ὑπὸ τῶν σαμείων διανυέσθων 
2.15.9	καὶ αἱ δεύτεραι, τὸν αὐτὸν ἑξοῦντι λόγον ποτ' ἀλλάλας 
2.15.10	αἱ λαφθεῖσαι γραμμαί. 
2.15.11	  Ἔστω κατὰ τᾶς ΑΒ γραμμᾶς ἐνηνεγμένον τι σαμεῖον 
2.15.12	ἰσοταχέως αὐτὸ ἑαυτῷ καὶ ἄλλο κατὰ τᾶς ΚΛ, λελάφθωσαν 
2.15.13	δὲ ἐν τᾷ ΑΒ δύο αἱ ΓΔ, ΔΕ γραμμαί, καὶ ἐν τᾷ ΚΛ αἱ 
2.15.14	ΖΗ, ΗΘ, ἐν ἴσῳ δὲ χρόνῳ τὸ κατὰ τᾶς ΑΒ γραμμᾶς 
2.15.15	ἐνηνεγμένον σαμεῖον τὰν ΓΔ γραμμὰν διαπορευέσθω, 
2.15.16	ἐν ὅσῳ τὸ ἕτερον κατὰ τᾶς ΚΛ ἐνηνεγμένον τὰν ΖΗ, 
2.15.17	ὁμοίως δὲ καὶ τὰν ΔΕ γραμμὰν ἐν ἴσῳ διαπορευέσθω 
2.15.18	τὸ σαμεῖον, ἐν ὅσῳ τὸ ἕτερον τὰν ΗΘ. Δεικτέον ὅτι τὸν 
2.15.19	αὐτὸν ἔχει λόγον ἁ ΓΔ ποτὶ τὰν ΔΕ, ὃν ἁ ΖΗ ποτὶ τὰν ΗΘ.  
2.15.20	  Ἔστω δὴ ὁ χρόνος, ἐν ᾧ τὰν ΓΔ γραμμὰν διεπορεύετο 
2.15.21	τὸ σαμεῖον, ὁ ΜΝ· ἐν τούτῳ δὴ τῷ χρόνῳ καὶ τὸ ἕτερον 
2.15.22	σαμεῖον διαπορεύεται τὰν ΖΗ. Πάλιν δὴ καὶ ἐν ᾧ τὰν  
2.16.1	ΔΕ γραμμὰν διεπορεύετο τὸ σαμεῖον, ἔστω ὁ ΝΞ χρόνος· 
2.16.2	ἐν τούτῳ δὴ καὶ τὸ ἕτερον σαμεῖον διαπορεύεται τὰν 
2.16.3	ΗΘ· τὸν αὐτὸν δὴ λόγον ἑξοῦντι ἅ τε ΓΔ ποτὶ τὰν ΔΕ 
2.16.4	γραμμάν, ὃν ὁ χρόνος ὁ ΜΝ ποτὶ ΝΞ, καὶ ἁ ΖΗ ποτὶ 
2.16.5	τὰν ΗΘ, ὃν ὁ χρόνος ὁ ΜΝ ποτὶ τὸν ΝΞ. Δῆλον οὖν ὅτι 
2.16.6	τὸν αὐτὸν ἔχοντι λόγον ἁ ΓΔ ποτὶ τὰν ΔΕ, ὃν ἁ ΖΗ ποτὶ 
2.16.7	τὰν ΗΘ. 
2.16.8	    γʹ. 
2.16.9	  Κύκλων δοθέντων ὁποσωνοῦν τῷ πλήθει δυνατόν ἐστιν 
2.16.10	εὐθεῖαν λαβεῖν μείζονα ἐοῦσαν τᾶν τῶν κύκλων περιφε-
2.16.11	ρειᾶν. 
2.16.12	  Περιγραφέντος γὰρ περὶ ἕκαστον τῶν κύκλων πολυγώνου 
2.16.13	δῆλον ὡς ἁ ἐκ πασᾶν συγκειμένα τᾶν περιμέτρων εὐθεῖα 
2.16.14	μείζων ἐσσεῖται πασᾶν τᾶν τῶν κύκλων περιφερειᾶν. 
2.16.15	    δʹ. 
2.16.16	  Δύο γραμμᾶν δοθεισᾶν ἀνισᾶν, εὐθείας τε καὶ κύκλου 
2.16.17	περιφερείας, δυνατόν ἐστι λαβεῖν εὐθεῖαν τᾶς μὲν μείζονος 
2.16.18	τᾶν δοθεισᾶν γραμμᾶν ἐλάσσονα, τᾶς δὲ ἐλάσσονος 
2.16.19	μείζονα. 
2.16.20	  Ὁσάκις γὰρ ἁ ὑπεροχά, ᾇ ὑπερέχει ἁ μείζων γραμμὰ 
2.16.21	τᾶς ἐλάσσονος, αὐτὰ ἑαυτᾷ συντιθεμένα ὑπερέξει τᾶς 
2.16.22	εὐθείας, εἰς τοσαῦτα ἴσα διαιρεθείσας τᾶς εὐθείας τὸ 
2.16.23	ἓν τμᾶμα ἔλασσον ἐσσεῖται τᾶς ὑπεροχᾶς. Εἰ μὲν οὖν 
2.16.24	κα ᾖ ἁ περιφέρεια μείζων τᾶς εὐθείας, ἑνὸς τμάματος 
2.16.25	ποτιτεθέντος ποτὶ τὰν εὐθεῖαν τᾶς μὲν ἐλάσσονος τᾶν 
2.16.26	δοθεισᾶν δῆλον ὡς μείζων ἐσσεῖται, τᾶς δὲ μείζονος  
2.17.1	ἐλάσσων· εἰ δέ κα ἐλάσσων, ἑνὸς τμάματος ποτιτεθέντος 
2.17.2	ποτὶ τὰν περιφέρειαν ὁμοίως τᾶς μὲν ἐλάσσονος μείζων 
2.17.3	ἐσσεῖται, τᾶς δὲ μείζονος ἐλάσσων· καὶ γὰρ ἁ ποτικειμένα 
2.17.4	ἐλάσσων ἐστὶ τᾶς ὑπεροχᾶς. 
2.17.5	    εʹ. 
2.17.6	  Κύκλου δοθέντος καὶ εὐθείας ἐπιψαυούσας τοῦ κύκλου 
2.17.7	δυνατόν ἐστιν ἀπὸ τοῦ κέντρου τοῦ κύκλου ἀγαγεῖν 
2.17.8	εὐθεῖαν ἐπὶ τὰν ἐπιψαύουσαν, ὥστε τὰν μεταξὺ τᾶς 
2.17.9	ἐπιψαυούσας καὶ τᾶς τοῦ κύκλου περιφερείας εὐθεῖαν 
2.17.10	ποτὶ τὰν ἐκ τοῦ κέντρου ἐλάσσονα λόγον ἔχειν ἢ ἁ 
2.17.11	περιφέρεια τοῦ κύκλου ἁ μεταξὺ τᾶς ἁφᾶς καὶ τᾶς 
2.17.12	διαχθείσας ποτὶ τὰν δοθεῖσαν ὁποιανοῦν κύκλου περι-
2.17.13	φέρειαν.  
2.17.14	  Δεδόσθω κύκλος ὁ ΑΒΓ, κέντρον δὲ αὐτοῦ τὸ Κ, καὶ 
2.17.15	ἐπιψαυέτω τοῦ κύκλου ἁ ΔΖ κατὰ τὸ Β, δεδόσθω δὲ καὶ 
2.17.16	κύκλου περιφέρεια ὁποιαοῦν· δυνατὸν δέ ἐστι τᾶς δοθείσας 
2.17.17	περιφερείας λαβεῖν τινα εὐθεῖαν μείζονα, καὶ ἔστω ἁ Ε 
2.17.18	εὐθεῖα μείζων τᾶς δοθείσας περιφερείας· ἄχθω δὲ ἀπὸ 
2.17.19	τοῦ Κ κέντρου παρὰ τὰν ΔΖ ἁ ΑΗ, καὶ κείσθω ἁ ΗΘ ἴσα 
2.17.20	τᾷ Ε νεύουσα ἐπὶ τὸ Β. Ἀπὸ δὴ τοῦ Κ κέντρου ἐπὶ τὸ Θ  
2.18.1	ἐπιζευχθεῖσα ἐκβεβλήσθω· τὸν αὐτὸν δὴ λόγον ἔχει ἁ 
2.18.2	ΘΖ ποτὶ τὰν ΘΚ, ὃν ἁ ΒΘ ποτὶ τὰν ΘΗ. Ἁ ἄρα ΖΘ ποτὶ τὰν 
2.18.3	ΘΚ ἐλάσσονα λόγον ἔχει τοῦ ὃν ἁ ΒΘ περιφέρεια ποτὶ 
2.18.4	τὰν δοθεῖσαν περιφέρειαν, διότι ἁ μὲν ΒΘ εὐθεῖα ἐλάσσων 
2.18.5	ἐστὶ τᾶς ΒΘ περιφερείας, ἁ δὲ ΘΗ μείζων τᾶς δοθείσας 
2.18.6	περιφερείας· ἐλάσσονα οὖν λόγον ἔχει καὶ ἁ ΖΘ ποτὶ 
2.18.7	τὰν ἐκ τοῦ κέντρου ἢ ἁ ΒΘ περιφέρεια ποτὶ τὰν δοθεῖσαν 
2.18.8	περιφέρειαν. 
2.18.9	    Ϛʹ. 
2.18.10	  Κύκλου δοθέντος καὶ ἐν τῷ κύκλῳ γραμμᾶς ἐλάσσονος 
2.18.11	τᾶς διαμέτρου δυνατὸν ἀπὸ τοῦ κέντρου τοῦ κύκλου 
2.18.12	ποτὶ τὰν περιφέρειαν αὐτοῦ ποτιβαλεῖν εὐθεῖαν τέμνουσαν 
2.18.13	τὰν ἐν τῷ κύκλῳ δεδομέναν γραμμάν, ὥστε τὰν ἀπολαφ-
2.18.14	θεῖσαν εὐθεῖαν μεταξὺ τᾶς περιφερείας καὶ τᾶς εὐθείας 
2.18.15	τᾶς ἐν τῷ κύκλῳ δεδομένας ποτὶ τὰν ἐπιζευχθεῖσαν ἀπὸ 
2.18.16	τοῦ πέρατος τᾶς ποτιπεσούσας τοῦ ἐπὶ τᾶς περιφερείας 
2.18.17	ποτὶ τὸ ἕτερον πέρας τᾶς ἐν τῷ κύκλῳ δεδομένας εὐθείας 
2.18.18	τὸν ταχθέντα λόγον ἔχειν, εἴ κα ὁ δοθεὶς λόγος ἐλάσσων 
2.18.19	ᾖ τοῦ ὃν ἔχει ἁ ἡμίσεια τᾶς ἐν τῷ κύκλῳ δεδομένας ποτὶ 
2.18.20	τὰν ἀπὸ τοῦ κέντρου κάθετον ἐπ' αὐτὰν ἀγμέναν.   
2.19.1	  Δεδόσθω κύκλος ὁ ΑΒΓ, κέντρον δὲ αὐτοῦ τὸ Κ, καὶ ἐν 
2.19.2	αὐτῷ δεδόσθω εὐθεῖα ἐλάσσων τᾶς διαμέτρου ἁ ΓΑ, καὶ 
2.19.3	λόγος, ὃν ἔχει ἁ Ζ ποτὶ Η, ἐλάσσων τοῦ ὃν ἔχει ἁ ΓΘ ποτὶ 
2.19.4	τὰν ΚΘ, καθέτου ἐούσας τᾶς ΚΘ· ἄχθω δὲ ἀπὸ τοῦ κέντρου 
2.19.5	παρὰ τὰν ΑΓ ἁ ΚΝ καὶ τᾷ ΚΓ πρὸς ὀρθὰς ἁ ΓΛ· ὁμοῖα 
2.19.6	δή ἐστι τὰ ΓΘΚ, ΓΚΛ τρίγωνα. Ἔστιν οὖν ὡς ἁ ΓΘ ποτὶ 
2.19.7	τὰν ΘΚ οὕτως ἁ ΚΓ ποτὶ τὰν ΓΛ· ἐλάσσονα ἄρα λόγον 
2.19.8	ἔχει ἁ Ζ ποτὶ τὰν Η ἢ ἁ ΚΓ ποτὶ τὰν ΓΛ. Ὃν δὴ λόγον 
2.19.9	ἔχει ἁ Ζ ποτὶ τὰν Η, τοῦτον ἐχέτω ἁ ΚΓ ποτὶ μείζονα 
2.19.10	τᾶς ΓΛ. Ἐχέτω ποτὶ τὰν ΒΝ, κείσθω δὲ ἁ ΒΝ μεταξὺ 
2.19.11	τᾶς περιφερείας καὶ τᾶς εὐθείας διὰ τοῦ Γ· δυνατὸν 
2.19.12	δέ ἐστιν οὕτως τέμνειν· καὶ πεσεῖται ἐκτός, ἐπεὶ μείζων 
2.19.13	ἐστὶν τᾶς ΓΛ. Ἐπεὶ οὖν ἁ ΚΒ ποτὶ ΒΝ τὸν αὐτὸν ἔχει 
2.19.14	λόγον ὃν ἁ Ζ ποτὶ Η, καὶ ἁ ΕΒ ποτὶ ΒΓ τὸν αὐτὸν ἕξει 
2.19.15	λόγον ὃν ἁ Ζ ποτὶ Η. 
2.19.16	    ζʹ. 
2.19.17	  Τῶν αὐτῶν δεδομένων καὶ τᾶς ἐν τῷ κύκλῳ εὐθείας 
2.19.18	ἐκβεβλημένας δυνατόν ἐστιν ἀπὸ τοῦ κέντρου ποτιβαλεῖν 
2.19.19	ποτὶ τὰν ἐκβεβλημέναν, ὥστε τὰν μεταξὺ τᾶς περιφερείας 
2.19.20	καὶ τᾶς ἐκβεβλημένας ποτὶ τὰν ἐπιζευχθεῖσαν ἀπὸ τοῦ 
2.19.21	πέρατος τᾶς ἐναπολαφθείσας ποτὶ τὸ πέρας τᾶς ἐκβεβλη-
2.19.22	μένας τὸν ταχθέντα λόγον ἔχειν, εἴ κα ὁ δοθεὶς λόγος 
2.19.23	μείζων ᾖ τοῦ ὃν ἔχει ἁ ἡμίσεια τᾶς ἐν τῷ κύκλῳ δεδομένας 
2.19.24	ποτὶ τὰν ἀπὸ τοῦ κέντρου κάθετον ἐπ' αὐτὰν ἀγμέναν.   
2.20.1	  Δεδόσθω τὰ αὐτά, καὶ ἔστω ἁ ἐν τῷ κύκλῳ γραμμὰ 
2.20.2	ἐκβεβλημένα, ὁ δὲ δοθεὶς λόγος ἔστω, ὃν ἔχει ἁ Ζ ποτὶ 
2.20.3	τὰν Η, μείζων τοῦ ὃν ἔχει ἁ ΓΘ ποτὶ τὰν ΘΚ· μείζων οὖν 
2.20.4	ἐσσεῖται καὶ τοῦ ὃν ἔχει ἁ ΚΓ ποτὶ ΓΛ. Ὃν δὴ λόγον 
2.20.5	ἔχει ἁ Ζ ποτὶ Η, τοῦτον ἕξει ἁ ΚΓ ποτὶ ἐλάσσονα τᾶς 
2.20.6	ΓΛ. Ἐχέτω ποτὶ ΙΝ νεύουσαν ἐπὶ τὸ Γ· δυνατὸν δέ ἐστιν 
2.20.7	οὕτως τέμνειν· καὶ πεσεῖται ἐντὸς τᾶς ΓΛ, ἐπειδὴ ἐλάσσων 
2.20.8	ἐστὶ τᾶς ΓΛ. Ἐπεὶ οὖν τὸν αὐτὸν ἔχει λόγον ἁ ΚΓ ποτὶ 
2.20.9	ΙΝ ὃν ἁ Ζ ποτὶ Η, καὶ ἁ ΕΙ ποτὶ ΙΓ τὸν αὐτὸν ἕξει λόγον 
2.20.10	ὃν ἁ Ζ ποτὶ τὰν Η. 
2.20.11	    ηʹ. 
2.20.12	  Κύκλου δοθέντος καὶ ἐν τῷ κύκλῳ γραμμᾶς ἐλάσσονος 
2.20.13	τᾶς διαμέτρου καὶ ἄλλας ἐπιψαυούσας τοῦ κύκλου κατὰ 
2.20.14	τὸ πέρας τᾶς ἐν τῷ κύκλῳ δεδομένας δυνατὸν ἀπὸ τοῦ 
2.20.15	κέντρου τοῦ κύκλου ποτιβαλεῖν τινα εὐθεῖαν ποτὶ τὰν 
2.20.16	εὐθεῖαν, ὥστε τὰν ἀπολαφθεῖσαν ἀπ' αὐτᾶς μεταξὺ τᾶς 
2.20.17	τοῦ κύκλου περιφερείας καὶ τᾶς ἐν τῷ κύκλῳ δεδομένας 
2.20.18	γραμμᾶς ποτὶ τὰν ἀπολαφθεῖσαν ἀπὸ τᾶς ἐπιψαυούσας 
2.20.19	τὸν ταχθέντα λόγον ἔχειν, εἴ κα ὁ δοθεὶς λόγος ἐλάσσων 
2.20.20	ᾖ τοῦ ὃν ἔχει ἁ ἡμίσεια τᾶς ἐν τῷ κύκλῳ δεδομένας ποτὶ 
2.20.21	τὰν ἀπὸ τοῦ κέντρου τοῦ κύκλου κάθετον ἐπ' αὐτὰν 
2.20.22	ἀγμέναν.   
2.21.1	  Ἔστω κύκλος δεδομένος ὁ ΑΒΓΔ, καὶ ἐν τῷ κύκλῳ 
2.21.2	εὐθεῖα δεδόσθω ἐλάσσων τᾶς διαμέτρου ἁ ΓΑ, καὶ ἁ ΞΛ 
2.21.3	ἐπιψαυέτω τοῦ κύκλου κατὰ τὸ Γ, καὶ λόγος, ὃν ἔχει ἁ 
2.21.4	Ζ ποτὶ Η, ἐλάσσων τοῦ ὃν ἔχει ἁ ΓΘ ποτὶ ΘΚ· ἐσσεῖται 
2.21.5	δὴ ἐλάσσων καὶ τοῦ ὃν ἔχει ἁ ΓΚ ποτὶ ΓΛ, εἴ κα παράλ-
2.21.6	ληλος ἀχθῇ ἁ ΚΛ τᾷ ΘΓ· ἐχέτω δὴ ἁ ΚΓ ποτὶ ΓΞ τὸν 
2.21.7	αὐτὸν λόγον ὃν ἁ Ζ ποτὶ Η· μείζων δή ἐστιν ἁ ΞΓ τᾶς 
2.21.8	ΓΛ. Γεγράφθω κύκλου περιφέρεια περὶ τὰ Κ, Λ, Ξ. Ἐπεὶ 
2.21.9	οὖν ἐστι μείζων ἁ ΞΓ τᾶς ΓΛ, καὶ ποτ' ὀρθάς ἐντι ἀλλάλαις 
2.21.10	αἱ ΚΓ, ΞΛ, δυνατόν ἐστι τᾷ ΜΓ ἴσαν ἄλλαν θέμεν τὰν ΙΝ 
2.21.11	νεύουσαν ἐπὶ τὸ Κ. Τὸ δὴ περιεχόμενον ὑπὸ τᾶν ΞΙΛ 
2.21.12	ποτὶ τὸ ὑπὸ τᾶν ΚΕ, ΙΛ τὸν αὐτὸν ἔχει λόγον ὃν ἁ ΞΙ 
2.21.13	ποτὶ ΚΕ, καὶ τὸ ὑπὸ τᾶν ΚΙΝ ποτὶ τὸ ὑπὸ τᾶν ΚΙ, ΓΛ 
2.21.14	τὸν αὐτὸν ἔχει λόγον ὃν ἁ ΙΝ ποτὶ ΓΛ· ὥστε καὶ ἁ ΙΝ 
2.21.15	ποτὶ ΓΛ ἐστὶν ὡς ἁ ΞΙ ποτὶ ΚΕ· ὥστε καὶ ἁ ΓΜ ποτὶ ΓΛ 
2.21.16	καὶ ἁ ΞΓ ποτὶ ΚΓ καὶ ποτὶ ΚΒ ἐστὶν ὡς ἁ ΞΙ ποτὶ ΚΕ, 
2.21.17	καὶ λοιπὰ ἁ ΙΓ ποτὶ ΒΕ τὸν αὐτὸν ἔχει λόγον ὃν ἁ ΞΓ 
2.21.18	ποτὶ τὰν ΓΚ καὶ ὃν ἁ Η ποτὶ Ζ. Πέπτωκεν οὖν ἁ ΚΝ ποτὶ 
2.21.19	τὰν ἐπιψαύουσαν, καὶ ἔχει ἁ μεταξὺ τᾶς περιφερείας  
2.22.1	καὶ τᾶς εὐθείας ἁ ΒΕ ποτὶ τὰν ἀπολαφθεῖσαν ἀπὸ τᾶς 
2.22.2	ἐπιψαυούσας τὸν αὐτὸν λόγον ὃν ἁ Ζ ποτὶ τὰν Η. 
